Delivery Date,Hour Ending,day ahead price
2016-04-25,17:00:00,29.31666667
2016-04-25,18:00:00,28.41166667
2016-04-25,19:00:00,24.26666667
2016-04-25,20:00:00,22.63583333
2016-04-25,21:00:00,21.00833333
2016-04-25,22:00:00,18.8675
2016-04-25,23:00:00,16.91333333
2016-04-26,00:00:00,14.82083333
2016-04-26,01:00:00,12.92
2016-04-26,02:00:00,12.05083333
2016-04-26,03:00:00,12.3675
2016-04-26,04:00:00,13.82166667
2016-04-26,05:00:00,15.6325
2016-04-26,06:00:00,19.63916667
2016-04-26,07:00:00,18.825
2016-04-26,08:00:00,19.30666667
2016-04-26,09:00:00,19.99666667
2016-04-26,10:00:00,21.21916667
2016-04-26,11:00:00,22.7675
2016-04-26,12:00:00,24.07916667
2016-04-26,13:00:00,25.82833333
2016-04-26,14:00:00,27.77416667
2016-04-26,15:00:00,30.13416667
2016-04-26,16:00:00,31.52833333
2016-04-26,17:00:00,28.18
2016-04-26,18:00:00,28.14666667
2016-04-26,19:00:00,24.82916667
2016-04-26,20:00:00,22.88333333
2016-04-26,21:00:00,20.88083333
2016-04-26,22:00:00,19.31083333
2016-04-26,23:00:00,16.92083333
2016-04-27,00:00:00,15.37416667
2016-04-27,01:00:00,14.165
2016-04-27,02:00:00,13.17666667
2016-04-27,03:00:00,13.26416667
2016-04-27,04:00:00,13.835
2016-04-27,05:00:00,15.53916667
2016-04-27,06:00:00,19.98583333
2016-04-27,07:00:00,19.18333333
2016-04-27,08:00:00,19.79083333
2016-04-27,09:00:00,20.86833333
2016-04-27,10:00:00,22.1275
2016-04-27,11:00:00,24.11
2016-04-27,12:00:00,25.48083333
2016-04-27,13:00:00,27.95416667
2016-04-27,14:00:00,29.62916667
2016-04-27,15:00:00,35.3
2016-04-27,16:00:00,38.33083333
2016-04-27,17:00:00,35.6325
2016-04-27,18:00:00,28.74333333
2016-04-27,19:00:00,25.42833333
2016-04-27,20:00:00,23.58666667
2016-04-27,21:00:00,20.58
2016-04-27,22:00:00,18.66666667
2016-04-27,23:00:00,16.86333333
2016-04-28,00:00:00,15.02833333
2016-04-28,01:00:00,13.145
